match_date,match_time,home_team,away_team,referee_team
2000-01-01,00:00,Volley2B HR 1,VC Olympia HR 1,Volley2B DS 7
2024-01-12,19:30,Volley2B DS 5,Intermezzo DS 2,Volley2B DS 9
2024-01-12,19:30,Volley2B DS 7,Punch DS 5,Volley2B DS 9
2024-01-12,19:30,Volley2B JA 2,Move4U JA 1,Volley2B DS 9
2024-01-12,21:15,Volley2B HS 5,Volley Lek en IJssel HS 5,Volley2B DS 7
2024-01-12,21:15,Volley2B XR 2,Erasmus Volley XR 3,Volley2B DS 7
2024-01-12,21:15,Volley2B XR 5,Volley2B XR 6,Volley2B DS 7
2024-01-13,11:15,Volley2B MB 1,Peelpush MB 1,Volley2B DS 9
2024-01-13,11:15,Volley2B MC 3,Volley2B MC 4,Volley2B DS 9
2024-01-13,11:15,Volley2B MC 1,Flamingo's'56 MC 1,Volley2B DS 9
2024-01-13,13:00,Volley2B DS 9,VC WIK Groot-Ammers DS 5,Volley2B DS 8
2024-01-13,13:00,Volley2B MC 6,Smash'66 MC 2,Volley2B DS 8
2024-01-13,15:00,Volley2B DS 4,Bernisse DS 1,Volley2B DS 9
2024-01-13,15:00,Volley2B DS 6,Phoenix DS 1,Volley2B DS 9
2024-01-13,15:00,Volley2B MC 5,Volley Voorne MC 1,Volley2B DS 9
2024-01-13,17:00,Volley2B HS 3,Volley Lek en IJssel HS 3,Volley2B DS 9
2024-01-13,17:00,Volley2B JC 1,Vovero JC 1,Volley2B DS 9
2024-01-13,19:00,Volley2B JB 1,VOLEVO JB 1,Volley2B DS 8
2024-01-13,19:00,Volley2B MA 4,Volley Lek en IJssel MA 2,Volley2B DS 8
2024-01-13,19:00,Volley2B MB 5,Flits MB 2,Volley2B DS 8
2024-01-19,19:30,Volley2B JA 1,VV Utrecht JA 1,Volley2B DS 7
2024-01-19,19:30,Volley2B MA 4,Move4U MA 1,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 1,Volcano XR 2,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 3,Hou Stand XR 5,Volley2B DS 7
2024-01-19,21:15,Volley2B XR 4,Hou Stand XR 6,Volley2B DS 7
2024-01-20,11:15,Volley2B DS 8,Intermezzo DS 3,Volley2B DS 5
2024-01-20,11:15,Volley2B JC 3,Vollido JC 1,Volley2B DS 5
2024-01-20,11:15,Volley2B MC 6,Vridos MC 1,Volley2B DS 5
2024-01-20,13:00,Volley2B DS 5,Move4U DS 1,Volley2B DS 8
2024-01-20,13:00,Volley2B JC 2,Yum JC 1,Volley2B DS 8
2024-01-20,13:00,Volley2B MA 2,Vollido MA 2,Volley2B DS 8
2024-01-20,15:00,Volley2B HS 4,Kalinko HS 2,Volley2B DS 5
2024-01-20,15:00,Volley2B MC 2,Vollido MC 1,Volley2B DS 5
2024-01-20,15:00,Volley2B MC 4,WHV MC 1,Volley2B DS 5
